ydate,cp,upprob,pctg,ydatestr
735844,200.61,0.573886468668565,0.383829320572246,2014-09-02
735845,200.5,0.556832447979569,0.169576059850376,2014-09-03
735846,200.21,0.576616402007598,-0.019979022026882,2014-09-04
735847,201.11,0.574067338423461,-0.0944756600865328,2014-09-05
735850,200.59,0.585994964411246,-0.0897352809212856,2014-09-08
735851,199.32,0.600771249184066,0.0551876379691018,2014-09-09
735852,200.07,0.590244423420989,-0.399860048982847,2014-09-10
735853,200.3,0.609501181642602,-0.099850224663014,2014-09-11
735854,199.13,0.595237606334838,0.0150655350775881,2014-09-12
735857,198.98,0.599416563300421,-0.185948336516221,2014-09-15
735858,200.48,0.593286101124837,0.144652833200329,2014-09-16
735859,200.75,0.569325212701021,0.303860523038612,2014-09-17
735860,201.82,0.550928958669114,-0.14864730948369,2014-09-18
735861,200.7,0.592741141640744,NaN,2014-09-19
